ID,Vulnerabilidade / Risco Identificado,Framework OWASP,Impacto CIA,Severidade,Tipo (P/D/C),Controle Recomendado,Referência Normativa,Justificativa no Cenário MedTrack
1,API entre microsserviços sem autenticação/mTLS,OWASP API Top 10 – API2:2023 Broken Authentication,"C, I",Crítica,P,Implementar mTLS + tokens JWT com validação centralizada (API Gateway),"ISO A.8.24; CIS 3.10",Serviços internos trocam dados de pacientes sem verificação de identidade
2,Ausência de logs de auditoria em ações críticas,OWASP Top 10 – A09:2021 Logging Failures,"C, I, D",Alta,D,Habilitar logging estruturado (SIEM) para acesso a prontuários e autenticações,"ISO A.8.15, A.8.16; CIS 8.2, 8.5",Impossível detectar vazamentos ou alterações não autorizadas hoje
3,Desenvolvedores com acesso irrestrito ao banco de produção,OWASP Top 10 – A01:2021 Broken Access Control,"C, I",Crítica,P,"Segregar ambientes; implementar PAM com aprovação e gravação de sessão; menor privilégio","ISO A.5.15, A.8.2; CIS 5.1, 6.1",Qualquer dev pode ler/alterar/excluir 80 mil prontuários sem rastro
4,Backups manuais e não testados,OWASP Top 10 – A05:2021 Security Misconfiguration,D,Alta,"P, C","Automatizar backups criptografados com testes de restauração mensais; armazenar offsite/imutável","ISO A.8.13; CIS 11.1, 11.3",Ransomware ou erro humano pode tornar recuperação impossível
5,Dados sensíveis (saúde) sem criptografia adequada,OWASP Top 10 – A02:2021 Cryptographic Failures,C,Crítica,P,"Criptografar dados em repouso (AES-256) e em trânsito (TLS 1.3); gerenciar chaves via HSM/KMS","ISO A.8.24; CIS 3.1, 3.11","LGPD Art. 46 exige proteção técnica; dado de saúde é categoria especial"
6,App mobile sem proteção contra engenharia reversa/tampering,OWASP Mobile Top 10 – M8:2024 Insecure Code,"C, I",Média,P,"Aplicar code obfuscation, RASP, certificate pinning e integridade de runtime","ISO A.8.25; CIS 16.8",Prontuários podem ser extraídos do app por atacante local
7,Falta de gestão de vulnerabilidades e pentest contínuo,OWASP Top 10 – A05:2021,"C, I, D",Alta,"D, P",Estabelecer programa de gestão de vuln + pentest trimestral + bug bounty,"ISO A.8.8; CIS 7.1, 7.4",Nenhuma avaliação de segurança foi feita desde o lançamento
8,Ausência de PSI/BCP/IRP formalizados,— (Governança),"C, I, D",Alta,P,"Elaborar e aprovar PSI, BIA, IRP e DRP com revisão anual","ISO A.5.1, A.5.30; CIS 17.1",Equipe age reativamente; sem diretrizes para resposta ou classificação
9,Credenciais de admin compartilhadas/sem MFA,OWASP Top 10 – A07:2021 Auth Failures,"C, I",Crítica,P,Implementar MFA obrigatório + SSO + rotação automática de credenciais,"ISO A.5.17; CIS 6.1, 6.3",Comprometimento de uma conta = acesso total ao sistema
10,Falta de monitoramento contínuo e alertas,OWASP Top 10 – A09:2021,"D, I",Alta,D,Implantar SIEM/SOAR com regras de correlação e alertas 24×7,"ISO A.8.16; CIS 8.6, 10.1",Incidentes podem permanecer dias sem detecção
11,APIs expostas sem rate limiting/throttling,OWASP API Top 10 – API4:2023 Unrestricted Resource Consumption,D,Média,"P, D","Configurar rate limiting, quotas e WAF na camada de API","ISO A.8.24; CIS 13.3",Ataques de força bruta ou DoS podem derrubar agendamentos
12,Dados de terceiros sem contratos de proteção,LGPD / Governança,C,Alta,P,Firmar acordos de confidencialidade e cláusulas de segurança com operadores,"LGPD Art. 37; ISO A.5.19",Responsabilidade solidária em caso de vazamento na cadeia
13,Falta de awareness em segurança para devs e staff,— (People),"C, I",Média,P,Programa trimestral de treinamento + phishing simulado,"ISO A.6.3; CIS 14.1",Acesso irrestrito + falta de cultura = risco humano elevado
14,Código-fonte sem SAST/DAST no CI/CD,OWASP Top 10 – A05:2021,"I, C",Alta,"P, D",Integrar SAST/DAST/SCA no pipeline; bloquear deploy com falhas críticas,"ISO A.8.25; CIS 16.4",Vulnerabilidades chegam a produção sem barreira automatizada
15,Ausência de plano de comunicação de incidentes (LGPD 48h),LGPD Art. 48,"C, D",Alta,C,Definir fluxo de notificação à ANPD e titulares com templates pré-aprovados,"LGPD Art. 48; ISO A.5.24","Multa de até 2% faturamento ou R$ 50 mi por descumprimento"
